id,nama,email,usia,pendapatan,kota
459,Pelanggan-459,user458@mail.com,66,5972132,Bali
460,Pelanggan-460,user459@mail.com,67,8505819,Bandung
461,Pelanggan-461,user460@mail.com,41,3945816,Surabaya
462,Pelanggan-462,user461@mail.com,71,4509669,Bandung
463,Pelanggan-463,user462@mail.com,37,2096341,Jakarta
464,Pelanggan-464,user463@mail.com,75,5731073,Yogyakarta
465,Pelanggan-465,user464@mail.com,26,4289171,Bali
466,Pelanggan-466,user465@mail.com,57,2630246,Bandung
467,Pelanggan-467,user466@mail.com,38,4368574,Bandung
468,Pelanggan-468,user467@mail.com,71,3538649,Jakarta
469,Pelanggan-469,user468@mail.com,39,5457441,Yogyakarta
470,Pelanggan-470,user469@mail.com,34,5928630,Bandung
471,Pelanggan-471,user470@mail.com,61,-1,Bandung
472,Pelanggan-472,user471@mail.com,59,-1,Bandung
473,Pelanggan-473,user472@mail.com,20,7883998,Jakarta
474,Pelanggan-474,user473@mail.com,45,-1,Surabaya
475,Pelanggan-475,user474@mail.com,47,-1,Yogyakarta
476,Pelanggan-476,user475invalid,16,3798830,Bali
477,Pelanggan-477,user476@mail.com,59,5605822,Jakarta
478,Pelanggan-478,user477invalid,28,906755,Jakarta
479,Pelanggan-479,user478@mail.com,17,6820599,Bandung
480,Pelanggan-480,user479@mail.com,26,6343346,Yogyakarta
481,Pelanggan-481,user480invalid,65,3062110,Bali
482,Pelanggan-482,user481@mail.com,18,6202094,Yogyakarta
483,Pelanggan-483,user482@mail.com,19,3978869,Jakarta
484,Pelanggan-484,user483@mail.com,67,5563252,Jakarta
485,Pelanggan-485,user484invalid,59,7181354,Yogyakarta
486,Pelanggan-486,user485@mail.com,25,6383487,Jakarta
487,Pelanggan-487,user486@mail.com,41,2818431,Surabaya
488,Pelanggan-488,user487@mail.com,17,5039922,Bandung
489,Pelanggan-489,user488@mail.com,35,7335881,Yogyakarta
490,Pelanggan-490,user489@mail.com,25,8369962,Jakarta
491,Pelanggan-491,user490@mail.com,42,4437569,Yogyakarta
492,Pelanggan-492,user491@mail.com,43,5216617,Jakarta
493,Pelanggan-493,user492@mail.com,58,5262978,Bali
494,Pelanggan-494,user493@mail.com,43,2686582,Bandung
495,Pelanggan-495,user494invalid,38,4653052,Yogyakarta
496,Pelanggan-496,user495@mail.com,38,1616497,Yogyakarta
497,Pelanggan-497,user496@mail.com,28,3377460,Yogyakarta
498,Pelanggan-498,user497@mail.com,40,5262842,Yogyakarta
499,Pelanggan-499,user498@mail.com,17,-1,Bali
500,Pelanggan-500,user499@mail.com,25,-1,Jakarta
